name,link,lvl,algem,Calculus,Geometry,Algebra,Applied,Physics,Number Theory,Topology,Logic,Math.Stat and Probability,,Economics,,CS and DS,,Diff Gem,,Dynamics and Diff.Equations
Алгебра-1,https://old.mccme.ru/ium//f24/f24-Algebra1.html,1,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Геометрия,https://old.mccme.ru/ium//f24/f24-Geometry.html,1,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Математический анализ-1,https://old.mccme.ru/ium//f24/f24-Calculus1.html,1,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Анализ на многообразиях,https://old.mccme.ru/ium//f24/f24-Calculus3.html,2,0,1,1,0,0,0,0,1,0,0,,0,,0,,1,,0
Топология-2,https://old.mccme.ru/ium//f24/f24-Topology2.html,2,0,1,1,0,0,0,0,1,0,0,,0,,0,,0,,0
Алгебра-3,https://old.mccme.ru/ium//f24/f24-algebra3.html,2,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Комплексный анализ,https://old.mccme.ru/ium//f24/f24-Complan-Beloshapka.docx,2,0,1,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Основы обыкновенных дифференциальных уравнений и динамических систем,https://old.mccme.ru/ium//f24/f24-ODE.html,2,0,1,1,0,0,0,0,0,0,0,,0,,0,,0,,1
Предельные теоремы теории вероятностей и динамические системы,https://old.mccme.ru/ium//f24/f24-Bashtova.pdf,2,0,1,1,0,0,0,0,0,0,0,,0,,0,,0,,1
Когомологические аспекты геометрии дифференциальных уравнений,https://old.mccme.ru/ium//f24/hom_de.html,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,1
Базовые методы в алгебраической топологии,https://old.mccme.ru/ium//f24/f24-VylegzhaninRozhdestvenskii.html,2,0,0,1,1,0,0,0,0,0,0,,0,,0,,0,,0
Математика больших данных,https://old.mccme.ru/ium//f24/f24-Gasnikov.html,2,0,0,0,0,1,0,0,0,0,0,,0,,1,,0,,0
Анализ Фурье в теории чисел,https://old.mccme.ru/ium//f24/f24-Kalmynin.html,2,0,1,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Диофантовы приближения,https://old.mccme.ru/ium//f24/sem-Moschevitin.html,2,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Задачи современной теории Диофантовых приближений,https://old.mccme.ru/ium//f24/f24-Moschevitin.html,2,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Формальные языки,https://old.mccme.ru/ium//f24/f24-Overchuk.html,2,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0
Гессианова геометрия,https://old.mccme.ru/ium//f24/f24-Osipov.html,2,0,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
"Торическая топология, комбинаторика и теория гомотопий",https://old.mccme.ru/ium//f24/sem-panov.html,3,0,0,1,0,0,0,0,1,0,0,,0,,0,,0,,0
Спектральная геометрия,https://old.mccme.ru/ium//f24/Penskoi-sem.html,2,0,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
Дополнительные главы геометрии,https://old.mccme.ru/ium//f24/f24-Penskoi.html,2,0,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
p-адические числа,https://old.mccme.ru/ium//f24/f24-Rovinskii-p-adic.pdf,3,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Алгебраическая теория чисел: введение,https://old.mccme.ru/ium//f24/f24-25-Rosenblum-ant2425.pdf,1,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Избранные сюжеты из топологии поверхностей,https://old.mccme.ru//ium//s23/ryabichev/f24-Surf.html,2,0,0,1,0,0,0,0,1,0,0,,0,,0,,0,,0
Алгебраическая теория категорий,https://old.mccme.ru/ium//f24/f24-Tereshkin.html,1,0,0,0,1,0,0,0,0,1,0,,0,,0,,0,,0
Тэта-функции и решетки,https://old.mccme.ru/ium//f24/f24-Shabat.html,2,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Теория вероятностей (продолжение),https://old.mccme.ru/ium//f24/f24-Probability.html,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Деформационное квантование и квантовые группы,https://old.mccme.ru/ium//f24/sem-sharygin.html,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Автоморфные формы и их приложения , 27,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Алгебраические кривые , 28,1,1,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Алгебраические поверхности , 29,2,1,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Алгебры Ли и их представления , 30,1,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Алгоритмы как математическое исследование , 31,1,0,0,0,0,1,0,0,0,1,0,,0,,1,,0,,0
Анализ и геометрия интегралов-периодов , 33,3,0,1,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Аналитическая теория чисел с элементами геометрии чисел , 36,2,0,1,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Вариационное исчисление и оптимальное управление , 37,2,0,1,0,0,1,0,0,0,0,0,,1,,0,,0,,0
Введение в КАМ-теорию , 38,3,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Введение в алгебраические группы и их инварианты , 40,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Введение в алгебраическую теорию чисел , 42,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Введение в алгебраическую топологию , 43,2,0,0,1,1,0,0,0,1,0,0,,0,,0,,0,,0
Введение в дифференциальную геометрию , 44,2,0,1,1,0,0,0,0,0,0,0,,0,,0,,1,,0
Введение в квантовую теорию поля , 45,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Введение в коммутативную алгебру , 47,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Введение в обобщенные теории когомологий , 48,3,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Введение в обобщённую теорию рекурсий , 49,2,0,0,0,0,1,0,0,0,1,0,,0,,1,,0,,0
Введение в римановы поверхности , 50,3,0,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
Введение в теорию Галуа , 51,3,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Введение в теорию пучков , 52,2,1,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Введение в теорию случайных процессов , 53,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Введение в теорию схем , 54,2,1,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Введение в теорию чисел , 55,1,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0
Введение в функциональный анализ , 56,2,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Введение в эргодическую теорию , 57,2,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Гамильтонова механика , 58,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Гармонический анализ и банаховы алгебры , 59,2,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Геометрические структуры на многообразия,"ун,",2,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Геометрическое введение в алгебраическую геометрию , 62,2,1,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Геометрия и алгебра интегрируемых распределений , 65,2,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,,1
Геометрия и динамика , 66,1,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,,1
Геометрия и топология особых точек комплексных гиперповерхностей , 68,3,0,0,1,0,0,0,0,1,0,0,,0,,0,,0,,0
Гиперболические группы по Громову , 69,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Гладкие структуры на многообразиях , 70,3,0,1,1,0,0,0,0,0,0,0,,0,,0,,1,,0
Голоморфная динамика , 71,2,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,1
Группа Кремоны и её подгруппы , 72,3,1,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
"Группа кос, квантовые группы и приложения ", 73,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Группы и алгебры Ли , 75,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Динамика автоморфизмов алгебраических многообразий , 77,2,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Динамические системы , 79,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,1
Дискретная оптимизация и целочисленное линейное программирование , 80,2,0,0,0,0,1,0,0,0,0,0,,0,,1,,0,,0
Дифференциальная геометрия и однородные пространства. Применения к информационно, 82,2,0,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
Знакомство с математической физикой , 84,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Избранные главы дискретной математики , 85,2,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0
Избранные главы математической экономики , 86,2,0,0,0,0,1,0,0,0,0,0,,1,,0,,0,,0
Интегрируемость в квантовой теории поля , 88,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Интегрируемые системы классической механики , 90,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Интегрируемые системы частиц и нелинейные уравнения , 91,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,1
𝐾-теория 𝐶∗-алгебр , 92,3,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Квантовая механика , 94,3,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
"Квантовые группы: структуры, представления и приложения ", 98,2,0,0,0,1,0,1,0,0,0,0,,0,,0,,0,,0
"Классические группы, их инварианты и представления ",100,2,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Комплексная геометрия ,102,2,1,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
Конечные кольца: арифметика многочленов и коды ,103,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Линейное программирование ,105,1,0,0,0,0,1,0,0,0,0,0,,0,,1,,0,,0
Локализация и рациональная теория гомотопий ,107,2,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Математика физических явлений ,108,1,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Математическая физика ,110,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Математические основы квантовой механики ,111,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Многогранники и алгебраическая геометрия ,113,2,1,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Множества и модели ,115,2,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0
Модулярные формы ,116,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Непараметрика и другие сюжеты статистики ,117,1,0,0,0,0,1,0,0,0,0,1,,0,,0,,0,,0
Основные понятия математики ,119,1,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Основные приложения математики ,120,1,0,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0
Поверхности и многомерная алгебраическая геометрия ,121,2,1,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Представления и вероятность ,122,2,0,1,0,0,1,0,0,0,0,1,,0,,,,0,,0
Преобразование Фурье и его использование: примеры дискретные и непрерывные ,124,1,0,1,0,0,1,0,0,0,0,0,,0,,1,,0,,0
Прикладные методы анализа ,126,2,0,1,0,0,1,0,0,0,0,0,,0,,1,,0,,0
Проективная алгебраическая геометрия 1 ,127,1,1,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Проективная алгебраическая геометрия 2 ,128,1,1,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0
Пропозициональные логические системы ,129,2,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0
Риманова геометрия ,130,3,0,0,1,0,0,0,0,0,0,0,,0,,0,,1,,0
"Римановы поверхности, тэта-функции и нелинейные уравнения ",131,3,0,1,1,0,0,0,1,0,0,0,,0,,0,,1,,1
Симметрические функции ,132,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Сложные сети ,134,2,0,0,0,0,1,0,0,0,0,1,,0,,0,,0,,0
Современные динамические системы ,136,3,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,1
Современные проблемы анализа ,137,3,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Современные проблемы математической логики ,139,3,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,0
Специальные функции ,140,2,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Статистическая механика ,141,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Статистическая физика в точнорешаемых моделях ,142,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Стохастический анализ и приложения ,143,2,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Структура Ходжа и А-дискриминант аффинной гиперповерхности ,145,3,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Теория игр ,147,2,0,0,0,0,1,0,0,0,0,0,,1,,0,,0,,0
Теория кодирования как введение в алгебру и арифметику ,148,2,0,0,0,1,0,0,1,0,0,0,,0,,0,,0,,0
Теория пересечений и характеристические классы ,150,3,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0
Теория представлений ,151,2,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0
Теория солитонов ,152,2,0,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0
Топологическая обработка данных ,153,2,0,0,0,0,1,0,0,1,0,0,,0,,1,,0,,0
